Frequency (Hz),Signal (V)
2.700000000000000000e+09,-1.286194882186614610e-03
2.710526315789473534e+09,-7.704732753105086700e-03
2.721052631578947544e+09,-6.337718529739344402e-03
2.731578947368421078e+09,-1.871401094654026121e-03
2.742105263157894611e+09,-4.074089877238522631e-03
2.752631578947368622e+09,-2.366428325435405294e-02
2.763157894736842155e+09,9.174474572563049227e-04
2.773684210526315689e+09,1.271113878798836236e-02
2.784210526315789700e+09,1.090271099979405432e-02
2.794736842105263233e+09,-5.522517139855985524e-03
2.805263157894736767e+09,6.725983713869007792e-03
2.815789473684210300e+09,-1.064945461628651058e-02
2.826315789473684311e+09,2.156899627476911458e-03
2.836842105263157845e+09,6.272641275067600448e-03
2.847368421052631378e+09,-7.845868450652750126e-03
2.857894736842105389e+09,-1.176016050823154580e-02
2.868421052631578922e+09,-1.390475689605463576e-02
2.878947368421052456e+09,1.373904850027465527e-02
2.889473684210526466e+09,-5.663043610842904019e-04
2.900000000000000000e+09,1.372479730994404304e-02
